fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
		95	-1	-24	-49	42	1	13	93	-7	64	-5	62	123	-98	231		59	80	-48	257	39	14	16	22	-10	-22	9	-71	11	-16	18	59	-105	-8	30	1	74	29	-13	-2	-39	-49	79	70				-28	53		62	99		-158	65	40	168	-185	-476	269	-44	-92	82	13	-227	70
		76	-2	-23	-11	24	7	-4	-5	41	37	71	12	115	115	43		39	35	-190	-12	140	-2	-5	2	40	-26	-13	35	31	31	-9	15	7	13	22	1	-80	58	-62	44	18	0	3	27				-28	181		7	12		60	-39	25	244	-9	157	343	7	551	147	-188	-106	604
		72	-5	-30	-20	-5	3	37	83	4	98	-2	-157	88	34	-16			40	-1464	8	160	-8	-6	6	-51	-17	-23	43	22	28	-6	0	0	4	-14	2	-15	73	-18	15	88	-10	-6	8				18	114		15	8		-98	11	38	-2177	192	-52	82	-92	-293	99	-173	1528	127
		83	-2	10	-6	21	27	14	0	9		226	47	-26	85	13			54	-347	-129	141	1	7	3	-36	-46	-15	43	1	25	-9	71	-2	-6	-28	-4	-22	67	-8	11	30	14	-21	-6					-93		15	-7			67	-26	-2172	-218	96	163	10	-286	58	100	307	138
		0	-7	-24	-6	58	-1	5	97	29		234	71	-7	102	-14			54	-166	442	55	2	6	-5	17	-21	-3	-32	10	7	23	159	105	-52	22	5	-15	6	83	5	112	-3	0	-17					58		42	32			37	88	108	-61	179	115	-29	-20	152	188	424	40
			-3	2	-43	80	0	1	106	440		178	-37	113	125	-43			96	-1390	171	190	-3	14		-44	-22	-3	52	-31	38	-20	68	-4	-16	-33	6	-36	3	49	-7	-14	-1	11	-6					59		15	-9			37	-42	265	-550	-137	606	-36	111	78	168	3508	287
			-2	-1	-19	-3	20	13	-8	72		240	-11	-17	68	5			38	134	146	57	-56	8		-33	-10	13	13	-9	-40	-19	76	5	-3	-29	-1	-97	10	22	25	-2	-32	14	-4					-13		0	6			37	48	167	39	-148	81	-34	101	237	10	363	191
			-6	1	-4	7	10	7		49		20	-111	19	-63	-8			95	78	129	-22	0	-9		-55	-23	-15	-29	4	24	-7	73	4	-1	62	-4	-44	-22	17	-30	-31	20	-3	51					25		7	7			92	-5		-65	-102	534	-117	547	252	124	2329	54
			-5	-1	-7	16	2	3		80		55	-41	202	-5	5			62	75	232	129	-5	2		-32	-25	-59	-9	26	1	-4	69	1	3	97	1	-63	71	-16	-16	45	18	-88	-4					4		26	7			68	-23		-106	-50	343	485	17	109	96	-131	58
			-8	-6	-10	107	31	13		31		12	32	13	1	1			74	-370	33	113	-55	-95		-44	3	0	-25	-2	-6	-8	6	8	5	-13	-9	-29	40	4	46	-5	-24	-4	-17					60		4	14			33	27		78	75	280	-112	-343	163	67	167	-7
