fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
																																			19		3	15	-8	61		-2	11	95																			477				10
																																			6		35	-43	9	7		-15	2	23																			-92				617
																																			1		-3	40	-2	-5		127	-17	13																			2				305
																																			6		-2	-74	13	4		-3	-1	-4																			398				404
																																			-11		-1	-61	9	4		129	-4	-20																			-521				38
																																			-7		-1	-53	40	24		-20	-32	-4																							-70
																																			-7		-7	-27	57	16		32	29	-8																							108
																																			6		-1	-72	44	-7		26	-30	-3																							51
																																			-22		5	-42	17	95		-13	-53	8																							-27
																																			-8		-8	-28	14	6		-35	0	-5																							103
																																			3		-1	-24	45	10		-26	-20	-8																							12
																																			12		4	-10	-15	1		63	5	6																							-89
																																			15		0	-14	59	7		5	-67	98																							155
																																			-4		-1	-96	11	8		52	-3	-2																							25
																																			4		-4	-23	-9	66		37	-61	2																							58
																																			-8		3	-94	-20	39		-32	-103	24																							344
																																			9		5	-49	5	2		63	-29	-9																							83
																																			21		-4	-33	5	5		46	-16	6																							72
																																			8		-3	5	9	13		6	-9	98																							81
																																			1		11	-56	26	20		70	-11	95																							49
																																			9		8	-57	24	-6		16	-27	106																							1203
																																			-2		54	-41	17	81		40	-11	49																							31
																																			-12		2	-32	24	-3		187	-15	5																							72
																																			37		0	-17	53	21		197	-21	72																							106
																																			12		0	-65	64	9		-19	7	-5																							199
																																			4		6	-81	14	10		28	-34	11																							157
																																			12		-3	-35	61	11		-53	-23	0																							14
																																			-4		4	-76	0	4		23	-27	-3																							133
																																			-1		-10	-73	3	-4		1	-27	14																							34
																																			-9		14	-15	36	-10		70	31	-4																							504
																																			16		6	52	14	2		195	31	2																							22
																																			11		1	-68	9	10		77	-7	4																							634
																																			-3		-4	-47	39	13		-33	-6	-6																							379
																																			8		-6	-48	20	3		-4	0	-5																							431
																																			-15		0	-56	86	-71		-21	50	10																							106
																																			-41		7	90	13	6		64	6	10																							33
																																			-5		-3	77	-13	23		-86	-26	-1																							1277
																																			-7		1	-83	-11	4		-56	-66	11																							104
																																			1		69	-26	13	-13		15	-36	-15																							198
																																			-2		-7	24	-14	115		21	-12	1																							311
																																			1		2	-49	-13	-4		-20	-16	-13																							8
																																			25		0	-45	6	10		-24	-13	-15																							-60
																																			8		3	-73	0	102		944	-7	-12																							384
																																			-7		-1	-70	95	-11		-40	-2	-7																							7
																																			2		-1	-76	-31	-2		90	5	-24																							-23
																																			-3		3	-73	2	16		31	35	31																							68
																																			-6		-1	-34	22	-1		10	-16	15																							-32
																																			-34		-1	-79	7	-4		10	14	10																							260
																																			81		-7	-1	61	2		-71	-22	15																							25
																																			1		1	-14	7	-6		-11	7	63																							56
																																			7		2	-3	20	1		9	-17	7																							210
																																			80		-8	-5	10	-16		182	7	-15																							80
																																			2		-2	-35	20	-5		79	7	0																							-3
																																			9		0	-36	-15	11		25	9	-3																							-26
																																			69		-2	-26	-15	82		-42	-32	-3																							298
																																			2		2	-40	0	-1		-49	-13	-4																							298
																																			-2		4	-52	122	3		191	-11	17																							54
																																			-14		12	-47	73	23		26	-14	-19																							115
																																			13		1	6	15	-2		-38	10	20																							168
																																			-6		-2	-23	35	-6		-50	-5	3																							37
																																			-1		0	-92	-8	-6		-54	3	5																							119
																																			-37		-10	-9	18	1		88	16	5																							-20
																																			-2		-3	-86	-7	-1		18	27	21																							-4
																																			-3		-3	-32	24	11		-18	-2	-11																							337
																																			15		6	-1	18	4		66	-8	1																							-11
																																			-12		-3	-40	48	35		21	-18	-7																							150
																																			0		2	-36	-9	5		243	-15	-6																							-11
																																			-6		-1	-57	5	-1		14	-19	147																							191
																																			3		-4	-101	-10	10		-144	-12	6																							85
																																			4		9	-37	22	33		61	-11	-10																							114
																																			3		-11	-33	19	-10		-4	-23	9																							282
																																			1		7	-56	82	-2		-1	-16	9																							-58
																																			-6		5	-17	19	14		-117	10	13																							-39
																																			-6		3	-96	24	-6		16	19	9																							-6
																																			30		8	-60	75	7		-122	15	2																							-14
																																			3		5	-70	152	99		-40	-9	-16																							3
																																			-3		-4	-35	75	6		-37	-15	1																							137
																																			-2		0	-14	6	-17		-34	-11	1																							202
																																			4		29	-70	10	45		-30	-10	-11																							598
																																			38		0	-25	-19	-7		-14	0	-31																							-3
																																			-4		0	-13	24	11		23	3	113																							114
																																			-5		-1	0	2	29		2	-16	19																							27
																																			0		25	-66	29	2		29	10	-10																							75
																																			157		-1	-59	26	37		9	7	-1																							2
																																			3		-3	-72	-24	9		27	-6	-5																							-11
																																			5		4	-29	5	-1		2	25	-7																							86
																																			-7		4	-47	0	85		28	-29	-6																							47
																																			16		-2	-35	14	12		-6	-13	15																							1
																																			16		-1	-62	-6	13		-54	-24	-8																							88
																																			5		-5	30	-10	32		-128	30	5																							5
																																			-3		6	-41	95	7		48	-12	-16																							288
																																			-2		-3	-13	0	-2		-126	-11	-22																							423
																																			2		7	30	61	6		-128	-23	35																							31
																																			4		-5	-5	84	10		23	-15	-2																							274
																																			-11		15	-36	12	8		-14	50	-3																							52
																																			-1		5	-42	-9	3		20	-18	36																							71
																																			-6		0	-41	92	-9		43	-47	4																							55
																																			0		7	-16	15	47		-12	-27	5																							39
																																			6		2	-55	9	23		59	-2	-1																							58
																																			39		-6	-62	0	43		-72	-15	-5																							243
																																			2		0	-72	89	1		20	-10	91																							62
																																			5		5	-61	72	22		-18	17	14																							55
																																			11		6	-20	-25	29		-125	-12	20																							4
																																			-3		40	-72	5	4		-73	22	7																							110
																																			16		-6	-52	-9	42		-1	28	-14																							73
																																			2		3	-63	-4	-2		30	-34	-85																							63
																																			41		11	-39	33	32		6	9	13																							201
																																			-5		29	-9	47	9		6	-16	1																							-11
																																			-6		0	70	71	12		8	13	6																							91
																																			73		-6	-60	23	25		24	-21	23																							44
																																			-14		0	-30	9	10		40	-29	12																							82
																																			8		-1	-21	2	1		-53	34	-4																							47
																																			1		-1	-23	-6	122		2	-13	-15																							36
																																			1		0	-17	68	-1		47	-14	-14																							17
																																			6		-4	-7	17	-9		1	-2	19																							30
																																			-33		8	-48	-7	5		-6	-30	14																							6
																																			3		2	-18	-2	-9		-25	2	7																							303
																																			2		3	-45	10	44		-39	-41	6																							38
																																			-3		6	-51	-8	5		-31	-16	7																							36
																																			2		-2	-36	19	4		8	-4	4																							67
																																			-12		1	-83	7	-90		43	-14	-10																							-23
																																			10		5	-27	-7	15		-45	-12	16																							-35
																																			3		2	26	107	-9		45	-31	10																							157
																																			-5		2	-3	-1	-9		46	-22	-2																							-81
																																			2		17	-74	20	0		91	-13	3																							89
																																			-1		1	-33	-14	-4		9	-23	4																							324
																																			-9		1	56	1	5		-28	-1	10																							573
																																			-2		5	-30	8	1		70	-7	13																							17
																																			-11		-5	63	32	-72		93	0	4																							-11
																																			-2		635	-36	-23	0		-4	-29	-3																							12
																																			6		-2	-22	36	6		-18	-41	-14																							110
																																			-1		0	-44	-11	-6		-34	-28	2																							17
																																			-6		0	-36	11	-15		-54	-25	-13																							-20
																																			-10		4	-54	118	26		28	-1	3																							-48
																																			2		-2	-43	62	4		14	4	3																							49
																																			-6		-1	-61	-24	16		437	-5	42																							54
																																			-2		0	-32	44	177		-25	-22	8																							56
																																			79		-4	-37	10	16		41	-4	11																							-8
																																			-2		15	-32	58	11		14	-36	-60																							42
																																			0		-8	49	19	18		27	-3	-55																							144
																																			-8		3	-37	35	11		-14	-12	-28																							-84
																																			-6		5	-63	34	-4		44	-13	-71																							196
																																			3		35	-17	-10	-4		-125	-21	-7																							29
																																			-12		2	-32	-1	8		29	-8	-8																							880
																																			-11		-5	-2	43	92		-32	4	-8																							-29
																																			0		-2	5	17	1		-2	-52	6																							-17
																																			14		-1	-27	105	0		22	-24	-3																							-9
																																			-8		3	-40	3	23		13	-22	2																							303
																																			12		2	-73	28	3		2	6	-4																							252
																																			0		3	24	44	-1		26	-4	-11																							261
																																			7		1	-26	11	-9		21	-3	-6																							130
																																			-5		-4	-19	0	2		207	11	17																							82
																																			2		-2	28	20	33		46	-15	1																							95
																																			12		-5	-62	6	1		5	-15	-8																							50
																																			6		-3	-86	4	6		134	-8	-17																							30
																																			-4		12	-69	12	-84		-40	12	-11																							29
																																			-8		4	9	56	16		-36	-9	-4																							55
																																			-9		-4	-36	-5	41		14	-22	-1																							-90
																																			6		3	-97	0	-6		-37	-21	2																							8
																																			9		16	1	8	36		63	-12	-2																							1064
																																			-8		-1	-92	-59	14		1	-16	-3																							1
																																			-6		-1	-33	48	5		-7	-28	9																							2584
																																			-10		-3	-51	18	5		65	-24	-14																							302
																																			-3		5	-40	23	7		11	1	-1																							1976
																																			5		26	-55	92	9		28	-25	6																							9
																																			1		7	1	-1	29		57	-8	-3																							226
																																			-2		-1	72	6	-6		3	-23	-3																							152
																																			7		23	-7	15	-5		40	2	4																							112
																																			9		-14	-41	-1	20		29	-9	8																							33
																																			6		4	-43	-14	52		508	-3	1																							-11
																																			-1		4	43	54	16		-67	-26	8																							-20
																																			26		-2	7	14	72		32	-22	-16																							57
																																			16		-8	-19	79	8		-36	-1	1																							-80
																																			-7		27	-61	-19	13		13	-2	22																							115
																																			6		3	2	70	53		50	-21	-4																							-16
																																			2		20	30	44	25		68	-35	-13																							320
																																			1		-3	-16	16	6		-28	-2	-7																							-14
																																			26		-3	-45	-7	6		63	-37	24																							90
																																			-25		-7	31	18	-7		2	-10	10																							21
																																			7		5	13	22	3		317	-17	-11																							-57
																																			27		-1	-32	27	129		27	-8	-8																							2
																																			11		4	15	-31	3		-35	-20	20																							20
																																			-2		-7	-45	2	32		38	-15	30																							45
																																			-14		6	-24	12	27		1	2	30																							-8
																																			39		-4	-47	13	14		-35	-28	13																							62
																																			41		-1	4	21	-8		15	-6	1																							25
																																			-3		-4	6	3	15		20	25	-6																							63
																																			9		2	-75	23	-9		-41	14	83																							65
																																			-15		0	-1	74	5		35	-12	38																							65
																																			-3		3	-2	10	6		60	-8	-92																							44
																																			-10		-1	-40	80	29		19	27	-71																							-45
																																			-2		4	4	65	7		29	2	-73																							118
																																			-5		-3	-86	-6	43		-7	-25	-85																							180
																																			24		-1	-5	-134	309		-2	-17	-3																							706
																																			31		1	7	173	-14		19	-27	-6																							-5
																																			14		1	-16	7	-2		61	8	5																							12
																																			10		8	-38	6	-1		-2	-16	6																							79
																																			-3		18	-114	10	14		54	-5	-11																							93
																																			11		2	15	33	57		15	93	7																							75
																																			22		-6	-41	2	6		7	-19	8																							-4
																																			1		3	-58	29	14		-36	-22	-74																							82
																																			-11		13	-29	0	5		18	6	15																							144
																																			9		3	-24	5	24		-30	-26	-67																							188
																																			-1		2	-77	87	-3		16	-13	-2																							205
																																			3		1	-22	16	-8		14	-10	40																							429
																																			0		5	-35	10	-2		18	-56	4																							56
																																			3		5	-21	-4	-13		-17	32	17																							7
																																			11		-3	11	33	-30		34	-20	-2																							128
																																			0		6	4	24	9		36	-31	-3																							95
																																			6		-5	-31	15	3		-42	4	11																							-48
																																			-6		0	-14	-11	22		20	-12	-5																							170
																																			5		9	-72	-3	21		8	-11	-1																							659
																																			-3		0	-44	14	86		101	24	8																							250
																																			22		-2	-61	12	-3		27	-10	-6																							413
																																			57		1	-51	-8	8		-28	-8	-5																							-49
																																			-7		19	-66	60	21		119	-9	-23																							-27
																																			-9		0	-57	11	16		124	-34	-33																							83
																																			14		9	-20	6	5		9	-7	11																							78
																																			2		1	-30	4	11		7	0	82																							98
																																			-1		11	-56	-11	75		-28	13	5																							18
																																			13		-6	-57	-17	15		-18	1	-10																							189
																																			3		-3	-95	13	4		47	-8	15																							349
																																			1		1	-106	17	-3		16	-5	-2																							-12
																																			7		-9	-95	-3	16		-4	24	-5																							-12
																																			6		-2	-47	38	19		174	-11	6																							334
																																			2		-2	-38	15	11		-36	-8	-13																							35
																																			14		-5	-24	10	17		19	-65	-14																							35
																																			-3		-3	-13	-6	-5		-54	16	-7																							68
																																			0		5	-79	-3	48		-7	19	-4																							10
																																			15		3	4	-5	13		0	-19	8																							-45
																																			7		-2	-51	54	8		-59	0	-2																							-93
																																			9		1	8	8	18		-24	-25	8																							40
																																			-3		0	-49	-7	10		-1	-23	2																							385
																																			5		0	-7	50	12		47	-11	-31																							50
																																			21		0	-53	28	-73		45	-8	-3																							105
																																			-3		0	-54	-17	-6		65	-3	85																							575
																																			4		0	-53	17	0		61	-20	3																							92
																																			10		7	-112	23	54		29	-1	-11																							143
																																			-4		2	31	-3	54		-8	-26	-16																							56
																																			-17		4	33	-17	62		48	-11	11																							7
																																			16		6	-61	22	12		5	-22	-5																							131
																																			29		10	51	0	0		28	-18	5																							-28
																																			-4		-6	-83	7	11		-34	-4	6																							68
																																			-72		7	-74	-12	-14		-25	-14	-1																							-26
																																			-1		1	-31	1	-3		116	-3	-12																							61
																																			-5		0	-40	-12	18		-2	1	5																							83
																																			91		3	-32	-5	15		-18	-64	25																							117
																																			14		-3	-33	-8	9		91	-61	-5																							121
																																			10		1	-51	-18	143		6	68	15																							29
																																			8		-2	-27	-2	109		-2	-14	3																							340
																																			-1		-4	37	-13	4		39	2	2																							-95
																																			2		-3	-56	55	6		57	32	-10																							147
																																			3		2	30	32	-12		-18	34	-15																							146
																																			-5		10	-53	12	2		-31	0	3																							72
																																			-1		10	-24	53	30		-63	20	69																							292
																																			0		-2	-28	85	25		-1	-4	-12																							-69
																																			28		-3	-19	19	6		115	5	145																							15
																																			16		-3	-8	86	6		-54	-1	6																							200
																																			5		-3	-82	24	42		0	-1	8																							344
																																			5		4	-15	-5	12		43	-13	24																							-1
																																			4		2	-124	19	-13		98	-21	-13																							-6
																																			36		-3	-47	0	5		24	2	-19																							272
																																			-8		-5	-48	-4	-4		18	12	41																							162
																																			14		0	25	15	4		-51	-5	-6																							-95
																																			4		-2	-67	29	-7		59	-27	-4																							285
																																			0		2	-44	32	70		62	-15	4																							115
																																			27		1	-2	-11	41		1	-24	-11																							-15
																																			1		-1	59	96	4		24	-16	4																							153
																																			2		11	-28	48	6		-72	-18	73																							252
																																			-83		-1	-27	63	-85		-69	1	-5																							-35
																																			-5		0	-13	48	10		12	-6	0																							74
																																			-11		7	-33	-5	17		21	1	48																							716
																																			7		5	-41	-25	22		9	-7	2																							-38
																																			21		-1	-47	-5	-8		18	-7	-63																							197
																																			7		10	36	100	33		-71	-5	13																							69
																																			-2		13	-5	-22	164		-21	20	-175																							127
																																			-5		-8	8	-12	14		-12	-15	-20																							59
																																			6		3	-45	-15	10		-17	-49	6																							853
																																			4		1	10	21	28		50	-3	0																							-102
																																			-20		16	-62	77	58		16	-16	17																							-16
																																			5		1	-56	15	8		34	-30	36																							-106
																																			-2		-3	-64	45	-3		-30	-4	82																							
																																			0		-1	82	-12	29		35	21	-13																							
																																			-6		6	-28	-12	-7		4	-8	-2																							
																																			1		0	-26	-13	2		-44	8	-14																							
																																			-5		-12	-4	-11	64		19	-7	4																							
																																			-7		6	-31	111	-8		112	-58	-62																							
																																			21		13	-71	-24	15		28	-36	13																							
																																			15		-1	-72	3	0		53	-46	18																							
																																			-9		0	-24	1	3		61	9	28																							
																																			15		19	-30	18	18		28	-13	9																							
																																			-2		-6	-17	-1	87		-23	11	-1																							
																																			11		5	-27	19	-6		47	-18	36																							
																																			0		1	41	10	25		30	0	-18																							
																																			-3		-8	-24	-7	11		20	-39	130																							
																																			-9		11	-25	-13	26		22	-48	3																							
																																			37		-4	-70	5	101		21	-53	-2																							
																																			-8		0	-63	-11	-1		25	-1	-5																							
																																			-3		5	-65	55	26		47	-5	23																							
																																			83		8	-78	-117	6		2	11	30																							
																																			37		9	-83	43	-6		0	-30	-22																							
																																			25		-2	6	18	13		-39	-18	80																							
																																			-2		1	2	-3	5		-11	9	24																							
																																			-1		5	-12	-4	7		50	-26	6																							
																																			-13		13	40	50	85		74	-10	-17																							
																																			9		-3	-36	9	39		2	-3	19																							
																																			-8		4	-74	-10	3		31	-13	54																							
																																			7		-1	35	67	24		8	3	25																							
																																			0		0	-45	26	13		41	0	114																							
																																			-6		2	-57	55	13		8	14	149																							
																																			6		7	-74	40	8		96	0	10																							
																																			-9		-9	-18	42	17		-34	0	-2																							
																																			-7		12	-34	-12	-3		-33	7	109																							
																																			-42		-3	-77	75	64		-28	-4	77																							
																																			4		-2	-8	23	20		63	15	7																							
																																			-1		1	-18	61	49		-67	-20	85																							
																																			-6		-2	-26	-22	-236		-21	-19	-70																							
																																			54		18	-12	12	21		-11	-2	31																							
																																			8		11	-13	15	-248		10	-24	-75																							
																																			-14		-1	-65	0	7		-119	29	14																							
																																			-3		-4	48	75	26		12	40	14																							
																																			11		-4	-13	-3	13		11	-4	-7																							
																																			-7		8	-6	44	68		3	-21	-1																							
																																			53		1	-41	-10	-8		15	-11	9																							
																																			1		2	-36	23	23		27	-18	163																							
																																			25		-1	-48	1	9		14	-16	25																							
																																			-1		0	57	-2	16		32	-19	-2																							
																																			5		-4	-37	-5	17		20	-29	-10																							
																																			11		-4	-11	24	7		-46	-18	11																							
																																			-6		4	-15	3	15		-6	-4	-5																							
																																			16		32	-51	-7	-3		14	-9	2																							
																																			-7		-1	-45	2	22		61	-28	26																							
																																			-2		1	3	4	-5		25	-32	-4																							
																																			-1		-6	-42	11	18		10	15	-77																							
																																			-28		-7	-53	-2	29		119	-5	69																							
																																			5		1	-44	60	32		-16	-15	-66																							
																																			23		-2	-54	-9	-6		-49	-74	177																							
																																			3		-5	-1	-13	31		15	-31	114																							
																																			4		6	-20	1	8		27	-15	25																							
																																			0		4	-23	36	5		-21	-10	6																							
																																			-11		7	-51	28	5		-17	20	19																							
																																			18		-7	-2	10	13		3	0	7																							
																																			-3		-4	-19	23	21		-15	1	176																							
																																			-8		6	-25	27	-5		9	-79	40																							
																																			-8		5	-52	2	14		-14	-6	17																							
																																			-2		11	-18	-23	15		-85	2	-11																							
																																			0		-3	-42	48	55		96	-15	-5																							
																																			-53		5	34	36	8		-31	-5	5																							
																																			12		-2	2	44	-11		-10	-15	8																							
																																			2		21	-53	-62	-47		7	-13	171																							
																																			22		13	-72	22	15		14	-20	1																							
																																			-5		10	5	11	9		-27	0	11																							
																																			0		-3	-19	39	38		24	28	7																							
																																			14		22	-13	16	14		-55	-13	9																							
																																			3		-1	9	68	20		5	-27	13																							
																																			-4		11	-70	16	17		3	-34	132																							
																																			-9		5	-12	-6	11		60	-4	-8																							
																																			-4		-4	-54	3	22		-46	-10	-5																							
																																			2		19	-48	85	9		-8	-19	20																							
																																			-7		0	29	-1	3		-36	-32	-7																							
																																			-21		6	-72	63	42		-24	6	25																							
																																			5		-6	-33	-5	-84		16	-11	-1																							
																																			-8		2	-14	44	-1		-22	35	153																							
																																			-11		4	-8	0	-8		105	-79	176																							
																																			-10		4	-108	-5	1		168	-17	-72																							
																																			-26		5	-64	40	36		81	-17	8																							
																																			-9		2	-63	1	31		-5	21	15																							
																																			-8		-2	-22	-13	7		-59	1	15																							
																																			1		1	-11	-5	17		58	-13	18																							
																																			1		96	-54	-12	-8		-39	-20	-4																							
																																			2		2	48	13	35		5	23	0																							
																																			-8		-4	11	-13	13		30	-16	4																							
																																			6		8	-52	-1	37		-4	-21	29																							
																																			-1		-1	-60	91	-4		3	-20	17																							
																																			-12		-1	-85	-32	2		-32	-9	13																							
																																			-5		-6	-12	-3	14		-59	-17	-4																							
																																			-7		-1	-44	29	-1		30	-9	-12																							
																																			-28		6	-46	11	-2		111	-4	9																							
																																			2		1	-43	13	24		77	-12	-82																							
																																			-6		-3	-41	42	26		-3	-21	-1																							
																																			-11		3	-34	74	-2		-3	-15	1																							
																																			-5		3	-75	7	5		58	-21	41																							
																																			0		8	-41	-11	-79		-28	-6	6																							
																																			-3		30	-32	10	4		-10	33	2																							
																																			-10		-3	-29	-1	20		52	-9	8																							
																																			-4		4	-14	54	-10		14	94	-23																							
																																			-5		32	-26	-6	-12		44	-11	46																							
																																			-1		-3	-52	18	5		8	-1	104																							
																																			-6		-4	-32	81	36		3	1	11																							
																																			5		9	-22	88	8		4	-4	30																							
																																			-5		-5	-4	24	16		-32	3	14																							
																																			-5		4	-70	1	11		25	-5	-247																							
																																			22		-4	-48	4	-84		-14	-15	12																							
																																			-10		4	-102	88	6		-29	-6	111																							
																																			-4		-4	-34	15	0		-53	-10	34																							
																																			5		-5	-57	33	98		-49	0	-12																							
																																			2		5	-84	21	-4		-102	-9	1																							
																																			-7		-6	-91	-20	17		-55	-21	-69																							
																																			11		-1	-84	7	4		221	7	120																							
																																			-3		0	-39	24	5		95	-54	108																							
																																			41		0	60	18	21		19	-6	11																							
																																			-8		6	-46	22	0		7	-46	-11																							
																																			6		5	-49	-10	-10		-33	-47	-61																							
																																			3		5	-57	65	15		-2	-44	3																							
																																			-6		67	44	91	0		-11	-6	-2																							
																																			-3		5	7	-7	-9		0	-17	24																							
																																			15		-5	-23	19	11		-21	-18	9																							
																																			-1		28	-4	25	13		0	-23	7																							
																																			-12		3	-10	5	4		16	-27	83																							
																																			6		-2	-50	-32	3		-5	-12	2																							
																																			2		-10	18	13	13		-23	-27	160																							
																																			-4		-5	8	-4	-1		3	-14	17																							
																																			4		2	-47	6	1		37	3	33																							
																																			-21		-1	-33	11	45		95	-14	39																							
																																			2		-2	28	23	99		73	29	340																							
																																			-4		-9	-46	153	87		3	-45	1																							
																																			-9		6	-102	-13	12		40	-7	-51																							
																																			-7		1	-72	45	8		4	-9	17																							
																																			-2		-2	-20	60	20		-54	-12	-10																							
																																			-10		-3	-88	8	-72		38	-30	28																							
																																			0		1	-19	14	-240		-7	-5	-5																							
																																			-72		0	-37	8	86		-11	0	10																							
																																			3		-8	-81	17	20		15	-23	4																							
																																			-2		-2	-7	19	-9		19	3	-2																							
																																			6		18	1	42	109		-94	-5	40																							
																																			-34		13	-63	-10	1		30	14	4																							
																																			-1		-2	-54	9	3		205	17	72																							
																																			0		-3	-51	12	1		12	-16	5																							
																																			-8		-7	32	27	-1		9	0	-3																							
																																			3		3	-13	143	10		5	-26	12																							
																																			-4		45	-4	3	2		100	1	2																							
																																			-86		9	-50	84	9		14	-16	3																							
																																			-2		5	-14	7	-2		54	1	-58																							
																																			-2		-13	-18	-10	-4		51	-24	5																							
																																			6		-3	-13	9	-4		20	10	5																							
																																			-6		6	-59	0	45		-41	-16	14																							
																																			-7		4	-30	68	9		-6	-17	11																							
																																			-3		-9	-45	-120	1		-8	-15	4																							
																																			-9		0	-162	73	1		-92	-16	14																							
																																			3		4	-69	1	44		5	-17	34																							
																																			2		-3	-82	65	83		-11	-2	8																							
																																			-8		1	111	6	5		6	-8	-11																							
																																			-4		1	-59	61	-10		-9	-21	12																							
																																			-3		-4	595	26	47		-9	-14	14																							
																																			-3		-2	-70	66	-4		40	-26	23																							
																																			-10		21	-99	-6	0		11	-46	18																							
																																			-1		9	2	35	16		234	-25	90																							
																																			44		7	-3	45	8		19	-27	15																							
																																			7		-2	-47	72	17		19	-28	27																							
																																			-10		3	-103	14	31		7	17	3																							
																																			-3		7	-40	16	17		-21	-8	-10																							
																																			-38		-3	-41	9	6		-39	-13	75																							
																																			-20		3	-4	14	5		-33	0	-13																							
																																			-6		-3	-8	-7	-87		-17	14	10																							
																																			1		5	10	47	-4		30	-19	17																							
																																			2		-1	8	15	2		25	-8	-10																							
																																			13		-2	-15	71	6		25	-17	-24																							
																																			18		3	-12	66	7		7	-5	4																							
																																			-2		5	-30	11	3		100	-3	-104																							
																																			16		14	-14	5	36		-33	-21	272																							
																																			-8		6	-59	-6	0		4	-8	-3																							
																																			-4		3	-26	91	17		7	-61	-89																							
																																			-9		-3	-23	23	14		-46	1	-33																							
																																			0		2	-31	8	2		-8	-18	13																							
																																			-8		3	43	2	3		-23	-28	13																							
																																			-8		-1	-31	12	14		-18	-1	160																							
																																			-6		1	-59	11	-55		42	-2	173																							
																																			0		-4	13	19	172		31	-6	5																							
																																			-10		6	-37	68	22		1	4	37																							
																																			0		-2	-65	31	13		-15	-1	94																							
																																			-8		47	-51	-3	14		-25	-14	-84																							
																																			-1		1	-31	8	-18		30	-25	37																							
																																			-1		-5	-6	35	-1		9	-15	1																							
																																			14		-9	-13	-3	5		-1	-3	6																							
																																			-3		-6	57	12	26		-8	-12	-21																							
																																			0		2	-48	-6	42		-1	-76	6																							
																																			-21		5	-47	-9	4		23	8	15																							
																																			1		1	-22	25	91		6	-3	15																							
																																			-5		-1	9	98	-4		-12	-9	-20																							
																																			-4		1	23	53	83		-31	-11	-80																							
																																			4		4	-6	-14	5		24	18	-2																							
																																			-6		-7	-20	6	-2		-42	4	-65																							
																																			-4		8	-2	-39	-8		21	5	11																							
																																			-9		-10	-1	-38	14		50	-13	81																							
																																			-1		2	-78	-12	-15		72	24	62																							
																																			-9		2	4	33	24		63	6	1																							
																																			2		6	-6	18	6		-10	-1	-1																							
																																			-23		-2	-3	39	18		50	-27	31																							
																																			-4		0	-35	61	95		-13	-16	63																							
																																			5		-1	-26	-17	10		104	-9	2																							
																																			-3		-2	25	-2	-16		12	-18	-10																							
																																			-2		-7	-43	32	14		-49	6	4																							
																																			0		2	12	-16	29		15	-43	4																							
																																			-44		-2	-154	1	78		41	2	17																							
																																			-4		13	12	26	-2		17	-11	-66																							
																																			1		0	-58	27	39		-92	-1	16																							
																																			-3		0	-52	77	0		39	-11	-21																							
																																			-8		-2	-13	47	-3		1	-14	174																							
																																			-4		-6	-20	14	39		44	-14	106																							
																																			22		1	-24	14	-13		44	-38	-19																							
																																			-2		3	4	36	-2		-11	-40	-3																							
																																			5		4	-2	8	-7		25	-15	-24																							
																																			-6		-8	2	14	3		16	-31	5																							
																																			2		17	-56	88	2		-22	-21	41																							
																																			-5		24	-72	9	12		-125	-25	10																							
																																			-1		9	-8	4	17		-11	-15	20																							
																																			-4		0	-34	50	14		40	-13	10																							
																																			-5		1	-50	-11	20		37	-44	-7																							
																																			6		28	-73	17	6		3	-2	21																							
																																			-20		-5	-34	-6	-8		34	-3	-74																							
																																			-1		0	-68	1	16		-34	-32	-1																							
																																			1		-2	-58	40	16		21	-10	-52																							
																																			1		-1	-25	4	3		-3	-11	-17																							
																																			-2		0	30	75	-21		18	-16	-27																							
																																			10		-3	-53	69	0		-39	-33	9																							
																																			-7		3	-53	-1	-8		4	-19	0																							
																																			0		19	-13	19	87		51	4	14																							
																																			0		-5	-24	6	104		34	-17	-9																							
